20 20
10 10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0	1	3	0	0	0	0	0	4	4	4	4	4	0	0	0	0	1	1	0
0	1	3	0	0	0	4	4	4	4	4	4	4	4	0	0	0	1	1	0
0	1	3	0	0	0	4	2	2	2	2	2	2	4	0	0	0	1	1	0
0	1	3	0	0	0	4	2	2	2	2	2	2	4	0	0	0	1	1	0
0	1	3	0	0	0	4	2	2	2	2	2	2	4	0	0	0	1	1	0
0	1	3	0	0	0	4	2	2	2	2	2	2	4	0	0	0	1	1	0
0	1	3	0	0	0	4	2	2	2	2	2	2	2	3	3	0	1	1	0
0	1	3	0	0	0	4	4	4	4	4	4	4	4	0	3	0	1	1	0
0	1	3	0	0	0	0	0	4	4	4	4	4	0	0	3	1	1	1	0
0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0
0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	0
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
